release_date,release_date,cpi_value
2011-10-19,2011-10-19,226.597
2011-11-16,2011-11-16,226.75
2011-12-16,2011-12-16,227.169
2012-01-19,2012-01-19,227.223
2012-02-15,2012-02-15,227.842
2012-03-16,2012-03-16,228.329
2012-04-13,2012-04-13,228.807
2012-05-15,2012-05-15,229.187
2012-06-14,2012-06-14,228.713
2012-07-17,2012-07-17,228.524
2012-08-15,2012-08-15,228.59
2012-09-14,2012-09-14,229.918
2012-10-16,2012-10-16,231.015
2012-11-15,2012-11-15,231.638
2012-12-14,2012-12-14,231.249
2013-01-16,2013-01-16,231.221
2013-02-19,2013-02-19,231.679
2013-03-15,2013-03-15,232.937
2013-04-16,2013-04-16,232.282
2013-05-16,2013-05-16,231.797
2013-06-18,2013-06-18,231.893
2013-07-16,2013-07-16,232.445
2013-08-15,2013-08-15,232.9
2013-09-17,2013-09-17,233.456
2013-10-30,2013-10-30,233.544
